Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     59.51     0.00     3033     0.00     0.00  std::move_iterator<Bond*> std::__make_move_if_noexcept_iterator<Bond, std::move_iterator<Bond*> >(Bond*)
  0.00     59.51     0.00     3024     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::max_size() const
  0.00     59.51     0.00     3014     0.00     0.00  void std::_Destroy<Bond*, Bond>(Bond*, Bond*, std::allocator<Bond>&)
  0.00     59.51     0.00     2896     0.00     0.00  void std::vector<Bond, std::allocator<Bond> >::_M_emplace_back_aux<Bond const&>(Bond const&)
  0.00     59.51     0.00     2852     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_get_Tp_allocator() const
  0.00     59.51     0.00     2520     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_deallocate(Bond*, unsigned long)
  0.00     59.51     0.00     2452     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<Bond*>(std::move_iterator<Bond*>)
  0.00     59.51     0.00     2450     0.00     0.00  Bond* std::__niter_base<Bond*>(Bond*)
  0.00     59.51     0.00     2233     0.00     0.00  Lattice::binomial_coeff(int)
  0.00     59.51     0.00     2041     0.00     0.00  Bond* std::copy<std::move_iterator<Bond*>, Bond*>(std::move_iterator<Bond*>, std::move_iterator<Bond*>, Bond*)
  0.00     59.51     0.00     2016     0.00     0.00  Bond* std::__miter_base<Bond*>(Bond*)
  0.00     59.51     0.00     2012     0.00     0.00  std::move_iterator<Bond*>::base() const
  0.00     59.51     0.00     1911     0.00     0.00  __gnu_cxx::new_allocator<Bond>::deallocate(Bond*, unsigned long)
  0.00     59.51     0.00     1883     0.00     0.00  Bond* std::__uninitialized_move_if_noexcept_a<Bond*, Bond*, std::allocator<Bond> >(Bond*, Bond*, Bond*, std::allocator<Bond>&)
  0.00     59.51     0.00     1827     0.00     0.00  std::vector<Bond, std::allocator<Bond> >::_M_check_len(unsigned long, char const*) const
  0.00     59.51     0.00     1820     0.00     0.00  Bond* std::__uninitialized_copy_a<std::move_iterator<Bond*>, Bond*, Bond>(std::move_iterator<Bond*>, std::move_iterator<Bond*>, Bond*, std::allocator<Bond>&)
  0.00     59.51     0.00     1738     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Bond*>(Bond*, Bond*)
  0.00     59.51     0.00     1655     0.00     0.00  std::_Vector_base<Bond, std::allocator<Bond> >::_M_allocate(unsigned long)
  0.00     59.51     0.00     1643     0.00     0.00  Bond* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Bond>(Bond const*, Bond const*, Bond*)
