Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     59.51     0.00        1     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00     59.51     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00     59.51     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00     59.51     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     59.51     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     59.51     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00     59.51     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00     59.51     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00     59.51     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00     59.51     0.00        1     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00     59.51     0.00        1     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00     59.51     0.00        1     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2015 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.02% of 59.51 seconds

index % time    self  children    called     name
               55.48    3.96       1/1           __libc_csu_init [2]
[1]     99.9   55.48    3.96       1         _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
                0.48    1.60 2115927/2115927     Lattice::calcAverageClusterSize(Bond&) [3]
                0.00    1.17     111/111         Lattice::shuffleBonds() [4]
                0.01    0.27      60/60          Lattice::generateNeighbors() [11]
                0.12    0.11 2533606/6663368     Lattice::getPvalue() [8]
                0.00    0.11     103/103         SquareLattice::SquareLattice(int) [22]
                0.05    0.00 3139351/3149738     std::vector<Bond, std::allocator<Bond> >::size() const [27]
                0.04    0.00 3232401/3232401     std::vector<Bond, std::allocator<Bond> >::operator[](unsigned long) [31]
                0.00    0.00    2233/2233        Lattice::binomial_coeff(int) [52]
                0.00    0.00     137/138         Lattice::~Lattice() [109]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [211]
-----------------------------------------------
                                                 <spontaneous>
[2]     99.9    0.00   59.44                 __libc_csu_init [2]
               55.48    3.96       1/1           _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN16HoneycombLattice14bonds_per_siteE [208]
                0.00    0.00       1/1           _GLOBAL__sub_I_main [209]
-----------------------------------------------
                0.48    1.60 2115927/2115927     _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
[3]      3.5    0.48    1.60 2115927         Lattice::calcAverageClusterSize(Bond&) [3]
                0.50    0.34 5032417/5032417     Lattice::getRootNode(int) [6]
                0.20    0.17 4129762/6663368     Lattice::getPvalue() [8]
                0.25    0.00 12462622/38043785     std::vector<int, std::allocator<int> >::operator[](unsigned long) [7]
                0.12    0.00 4413690/4413690     __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int) [19]
                0.03    0.00 1296237/1355743     __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int) [33]
-----------------------------------------------
                0.00    1.17     111/111         _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
[4]      2.0    0.00    1.17     111         Lattice::shuffleBonds() [4]
                0.29    0.88     116/116         void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [5]
                0.00    0.00     155/155         std::vector<Bond, std::allocator<Bond> >::begin() [53]
                0.00    0.00     118/118         std::vector<Bond, std::allocator<Bond> >::end() [54]
-----------------------------------------------
                0.29    0.88     116/116         Lattice::shuffleBonds() [4]
[5]      2.0    0.29    0.88     116         void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [5]
                0.21    0.10 4650182/4650182     bool __gnu_cxx::operator!=<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&) [9]
                0.11    0.20 3051253/3051253     void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [10]
                0.07    0.05 3576869/3576869     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator+(long) const [20]
                0.04    0.06 2474482/2474482     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::difference_type __gnu_cxx::operator-<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&) [23]
                0.04    0.00 2849345/2849345     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator++() [32]
-----------------------------------------------
                             6447697             Lattice::getRootNode(int) [6]
                0.50    0.34 5032417/5032417     Lattice::calcAverageClusterSize(Bond&) [3]
[6]      1.4    0.50    0.34 5032417+6447697 Lattice::getRootNode(int) [6]
                0.34    0.00 17114054/38043785     std::vector<int, std::allocator<int> >::operator[](unsigned long) [7]
                             6447697             Lattice::getRootNode(int) [6]
-----------------------------------------------
                0.17    0.00 8467109/38043785     Lattice::getPvalue() [8]
                0.25    0.00 12462622/38043785     Lattice::calcAverageClusterSize(Bond&) [3]
                0.34    0.00 17114054/38043785     Lattice::getRootNode(int) [6]
[7]      1.3    0.75    0.00 38043785         std::vector<int, std::allocator<int> >::operator[](unsigned long) [7]
-----------------------------------------------
                0.12    0.11 2533606/6663368     _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
                0.20    0.17 4129762/6663368     Lattice::calcAverageClusterSize(Bond&) [3]
[8]      1.0    0.33    0.28 6663368         Lattice::getPvalue() [8]
                0.17    0.00 8467109/38043785     std::vector<int, std::allocator<int> >::operator[](unsigned long) [7]
                0.11    0.00 7470460/8773467     std::vector<int, std::allocator<int> >::size() const [18]
-----------------------------------------------
                0.21    0.10 4650182/4650182     void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [5]
[9]      0.5    0.21    0.10 4650182         bool __gnu_cxx::operator!=<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&) [9]
                0.10    0.00 8335437/13740488     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::base() const [15]
-----------------------------------------------
                0.11    0.20 3051253/3051253     void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [5]
[10]     0.5    0.11    0.20 3051253         void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [10]
                0.09    0.05 1928071/1928071     std::enable_if<std::__and_<std::is_move_constructible<Bond>, std::is_move_assignable<Bond> >::value, void>::type std::swap<Bond>(Bond&, Bond&) [16]
                0.06    0.00 3892444/3892444     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator*() const [25]
-----------------------------------------------
                0.01    0.27      60/60          _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
[11]     0.5    0.01    0.27      60         Lattice::generateNeighbors() [11]
                0.03    0.23 1212739/1212739     SquareLattice::findNeighbor(int) [12]
                0.02    0.00 1302890/8773467     std::vector<int, std::allocator<int> >::size() const [18]
-----------------------------------------------
                0.03    0.23 1212739/1212739     Lattice::generateNeighbors() [11]
[12]     0.4    0.03    0.23 1212739         SquareLattice::findNeighbor(int) [12]
                0.04    0.19 2441279/2441279     std::vector<Bond, std::allocator<Bond> >::push_back(Bond const&) [13]
-----------------------------------------------
                0.04    0.19 2441279/2441279     SquareLattice::findNeighbor(int) [12]
[13]     0.4    0.04    0.19 2441279         std::vector<Bond, std::allocator<Bond> >::push_back(Bond const&) [13]
                0.04    0.14 2834939/2836521     void std::allocator_traits<std::allocator<Bond> >::construct<Bond, Bond const&>(std::allocator<Bond>&, Bond*, Bond const&) [14]
                0.00    0.00    2896/2896        void std::vector<Bond, std::allocator<Bond> >::_M_emplace_back_aux<Bond const&>(Bond const&) [50]
-----------------------------------------------
                0.00    0.00    1582/2836521     void std::vector<Bond, std::allocator<Bond> >::_M_emplace_back_aux<Bond const&>(Bond const&) [50]
                0.04    0.14 2834939/2836521     std::vector<Bond, std::allocator<Bond> >::push_back(Bond const&) [13]
[14]     0.3    0.04    0.15 2836521         void std::allocator_traits<std::allocator<Bond> >::construct<Bond, Bond const&>(std::allocator<Bond>&, Bond*, Bond const&) [14]
                0.08    0.06 3045842/3045842     void __gnu_cxx::new_allocator<Bond>::construct<Bond, Bond const&>(Bond*, Bond const&) [17]
                0.01    0.00 2173720/3890519     Bond const& std::forward<Bond const&>(std::remove_reference<Bond const&>::type&) [35]
-----------------------------------------------
                0.06    0.00 5405051/13740488     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::difference_type __gnu_cxx::operator-<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&) [23]
                0.10    0.00 8335437/13740488     bool __gnu_cxx::operator!=<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&) [9]
[15]     0.3    0.16    0.00 13740488         __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::base() const [15]
-----------------------------------------------
                0.09    0.05 1928071/1928071     void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [10]
[16]     0.2    0.09    0.05 1928071         std::enable_if<std::__and_<std::is_move_constructible<Bond>, std::is_move_assignable<Bond> >::value, void>::type std::swap<Bond>(Bond&, Bond&) [16]
                0.05    0.00 7391364/7391364     std::remove_reference<Bond&>::type&& std::move<Bond&>(Bond&) [26]
-----------------------------------------------
                0.08    0.06 3045842/3045842     void std::allocator_traits<std::allocator<Bond> >::construct<Bond, Bond const&>(std::allocator<Bond>&, Bond*, Bond const&) [14]
[17]     0.2    0.08    0.06 3045842         void __gnu_cxx::new_allocator<Bond>::construct<Bond, Bond const&>(Bond*, Bond const&) [17]
                0.05    0.00 2371281/2371281     operator new(unsigned long, void*) [28]
                0.01    0.00 1715229/3890519     Bond const& std::forward<Bond const&>(std::remove_reference<Bond const&>::type&) [35]
-----------------------------------------------
                0.00    0.00     117/8773467     Lattice::Lattice(int) [21]
                0.02    0.00 1302890/8773467     Lattice::generateNeighbors() [11]
                0.11    0.00 7470460/8773467     Lattice::getPvalue() [8]
[18]     0.2    0.13    0.00 8773467         std::vector<int, std::allocator<int> >::size() const [18]
-----------------------------------------------
                0.12    0.00 4413690/4413690     Lattice::calcAverageClusterSize(Bond&) [3]
[19]     0.2    0.12    0.00 4413690         __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int) [19]
-----------------------------------------------
                0.07    0.05 3576869/3576869     void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [5]
[20]     0.2    0.07    0.05 3576869         __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator+(long) const [20]
                0.05    0.00 3122954/3123165     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::__normal_iterator(Bond* const&) [30]
-----------------------------------------------
                0.00    0.11     107/107         SquareLattice::SquareLattice(int) [22]
[21]     0.2    0.00    0.11     107         Lattice::Lattice(int) [21]
                0.07    0.01     125/125         void std::fill<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [24]
                0.02    0.00      96/96          std::vector<int, std::allocator<int> >::vector() [36]
                0.00    0.01     121/121         std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&) [39]
                0.00    0.00     117/8773467     std::vector<int, std::allocator<int> >::size() const [18]
                0.00    0.00     134/213         std::allocator<int>::allocator() [101]
                0.00    0.00     128/332         std::allocator<int>::~allocator() [92]
                0.00    0.00     121/121         std::vector<int, std::allocator<int> >::begin() [112]
                0.00    0.00     113/113         std::vector<Coordinate, std::allocator<Coordinate> >::vector() [119]
                0.00    0.00      86/86          std::vector<Bond, std::allocator<Bond> >::vector() [140]
                0.00    0.00      85/85          std::vector<int, std::allocator<int> >::end() [142]
-----------------------------------------------
                0.00    0.11     103/103         _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
[22]     0.2    0.00    0.11     103         SquareLattice::SquareLattice(int) [22]
                0.00    0.11     107/107         Lattice::Lattice(int) [21]
-----------------------------------------------
                0.04    0.06 2474482/2474482     void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [5]
[23]     0.2    0.04    0.06 2474482         __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::difference_type __gnu_cxx::operator-<Bond*, std::vector<Bond, std::allocator<Bond> > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > const&) [23]
                0.06    0.00 5405051/13740488     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::base() const [15]
-----------------------------------------------
                0.07    0.01     125/125         Lattice::Lattice(int) [21]
[24]     0.1    0.07    0.01     125         void std::fill<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [24]
                0.01    0.00     108/108         __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a<int*, int>(int*, int*, int const&) [40]
                0.00    0.00     251/251         int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [95]
-----------------------------------------------
                0.06    0.00 3892444/3892444     void std::iter_swap<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [10]
[25]     0.1    0.06    0.00 3892444         __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator*() const [25]
-----------------------------------------------
                0.05    0.00 7391364/7391364     std::enable_if<std::__and_<std::is_move_constructible<Bond>, std::is_move_assignable<Bond> >::value, void>::type std::swap<Bond>(Bond&, Bond&) [16]
[26]     0.1    0.05    0.00 7391364         std::remove_reference<Bond&>::type&& std::move<Bond&>(Bond&) [26]
-----------------------------------------------
                0.00    0.00    1767/3149738     void std::vector<Bond, std::allocator<Bond> >::_M_emplace_back_aux<Bond const&>(Bond const&) [50]
                0.00    0.00    2492/3149738     Lattice::binomial_coeff(int) [52]
                0.00    0.00    6128/3149738     std::vector<Bond, std::allocator<Bond> >::_M_check_len(unsigned long, char const*) const [51]
                0.05    0.00 3139351/3149738     _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
[27]     0.1    0.05    0.00 3149738         std::vector<Bond, std::allocator<Bond> >::size() const [27]
-----------------------------------------------
                0.05    0.00 2371281/2371281     void __gnu_cxx::new_allocator<Bond>::construct<Bond, Bond const&>(Bond*, Bond const&) [17]
[28]     0.1    0.05    0.00 2371281         operator new(unsigned long, void*) [28]
-----------------------------------------------
                                                 <spontaneous>
[29]     0.1    0.05    0.00                 std::ostream_iterator<int, char, std::char_traits<char> > std::__copy_move_a<false, int*, std::ostream_iterator<int, char, std::char_traits<char> > >(int*, int*, std::ostream_iterator<int, char, std::char_traits<char> >) [29]
-----------------------------------------------
                0.00    0.00     105/3123165     std::vector<Bond, std::allocator<Bond> >::end() [54]
                0.00    0.00     106/3123165     std::vector<Bond, std::allocator<Bond> >::begin() [53]
                0.05    0.00 3122954/3123165     __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator+(long) const [20]
[30]     0.1    0.05    0.00 3123165         __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::__normal_iterator(Bond* const&) [30]
-----------------------------------------------
                0.04    0.00 3232401/3232401     _GLOBAL__sub_I__ZN9ActivatorC2Ei13LatticeType_t [1]
[31]     0.1    0.04    0.00 3232401         std::vector<Bond, std::allocator<Bond> >::operator[](unsigned long) [31]
-----------------------------------------------
                0.04    0.00 2849345/2849345     void std::random_shuffle<__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > > >(__gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >, __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >) [5]
[32]     0.1    0.04    0.00 2849345         __gnu_cxx::__normal_iterator<Bond*, std::vector<Bond, std::allocator<Bond> > >::operator++() [32]
-----------------------------------------------
                0.00    0.00   59506/1355743     Activator::calculateChi(arma::Col<double>&, arma::Col<double>&) [49]
                0.03    0.00 1296237/1355743     Lattice::calcAverageClusterSize(Bond&) [3]
[33]     0.1    0.03    0.00 1355743         __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int) [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.0    0.00    0.02                 main [34]
                0.00    0.01       1/1           Activator::Activator(int, LatticeType_t) [38]
                0.00    0.01       1/1           Activator::run_loops(int) [48]
                0.00    0.00       1/1           bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [241]
                0.00    0.00       1/1           Activator::~Activator() [225]
-----------------------------------------------
                0.00    0.00    1570/3890519     void std::vector<Bond, std::allocator<Bond> >::_M_emplace_back_aux<Bond const&>(Bond const&) [50]
                0.01    0.00 1715229/3890519     void __gnu_cxx::new_allocator<Bond>::construct<Bond, Bond const&>(Bond*, Bond const&) [17]
                0.01    0.00 2173720/3890519     void std::allocator_traits<std::allocator<Bond> >::construct<Bond, Bond const&>(std::allocator<Bond>&, Bond*, Bond const&) [14]
[35]     0.0    0.02    0.00 3890519         Bond const& std::forward<Bond const&>(std::remove_reference<Bond const&>::type&) [35]
-----------------------------------------------
                0.02    0.00      96/96          Lattice::Lattice(int) [21]
[36]     0.0    0.02    0.00      96         std::vector<int, std::allocator<int> >::vector() [36]
                0.00    0.00      86/86          std::_Vector_base<int, std::allocator<int> >::_Vector_base() [139]
-----------------------------------------------
                0.01    0.00       3/7           Activator::calculateConvolution() [47]
                0.01    0.00       4/7           Activator::Activator(int, LatticeType_t) [38]
[37]     0.0    0.02    0.00       7         arma::Mat<double>::fill(double) [37]
                0.00    0.00       7/7           void arma::arrayops::inplace_set<double>(double*, double, unsigned long long) [169]
-----------------------------------------------
                0.00    0.01       1/1           main [34]
[38]     0.0    0.00    0.01       1         Activator::Activator(int, LatticeType_t) [38]
                0.01    0.00       4/7           arma::Mat<double>::fill(double) [37]
                0.00    0.00       6/7           arma::Col<double>::Col() [167]
                0.00    0.00       5/6           arma::Mat<double>::set_size(unsigned long long) [170]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector() [237]
-----------------------------------------------
                0.00    0.01     121/121         Lattice::Lattice(int) [21]
[39]     0.0    0.00    0.01     121         std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&) [39]
                0.00    0.01      84/84          std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long) [44]
                0.00    0.00      89/89          std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [136]
-----------------------------------------------
                0.01    0.00     108/108         void std::fill<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [24]
[40]     0.0    0.01    0.00     108         __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a<int*, int>(int*, int*, int const&) [40]
-----------------------------------------------
                0.00    0.01      93/93          int* std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long) [43]
[41]     0.0    0.00    0.01      93         int* std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long) [41]
                0.00    0.01      91/91          int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&) [42]
-----------------------------------------------
                0.00    0.01      91/91          int* std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long) [41]
[42]     0.0    0.00    0.01      91         int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&) [42]
                0.01    0.00      84/84          __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&) [45]
                0.00    0.00     114/114         int* std::__niter_base<int*>(int*) [117]
-----------------------------------------------
                0.00    0.01      89/89          int* std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&) [46]
[43]     0.0    0.00    0.01      89         int* std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long) [43]
                0.00    0.01      93/93          int* std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long) [41]
-----------------------------------------------
                0.00    0.01      84/84          std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&) [39]
[44]     0.0    0.00    0.01      84         std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long) [44]
                0.00    0.01      63/63          int* std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&) [46]
                0.00    0.00      83/268         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [93]
-----------------------------------------------
                0.01    0.00      84/84          int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&) [42]
[45]     0.0    0.01    0.00      84         __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&) [45]
-----------------------------------------------
                0.00    0.01      63/63          std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long) [44]
[46]     0.0    0.00    0.01      63         int* std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&) [46]
                0.00    0.01      89/89          int* std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long) [43]
-----------------------------------------------
                0.00    0.01       1/1           Activator::run_loops(int) [48]
[47]     0.0    0.00    0.01       1         Activator::calculateConvolution() [47]
                0.01    0.00       3/7           arma::Mat<double>::fill(double) [37]
                0.00    0.00       1/1           Activator::calculateChi(arma::Col<double>&, arma::Col<double>&) [49]
                0.00    0.00       5/12          arma::Col<double>::~Col() [155]
                0.00    0.00       3/4           arma::Col<double>::Col(unsigned long long) [171]
                0.00    0.00       3/4           arma::Mat<double>::save(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, arma::file_type, bool) const [178]
                0.00    0.00       1/1           arma::linspace(double, double, unsigned long long) [223]
