8.81107494975291e-03,1.71100822503806e-02,2.44147137632347e-02,3.03004508560432e-02,3.44252358827561e-02,3.65493513306044e-02,3.65493513306045e-02,3.44252358827564e-02,3.03004508560436e-02,2.44147137632351e-02,1.71100822503810e-02,8.81107494975319e-03
1.71100822503806e-02,3.32257887129876e-02,4.74105331064239e-02,5.88399496459909e-02,6.68498021866477e-02,7.09745872133606e-02,7.09745872133607e-02,6.68498021866481e-02,5.88399496459915e-02,4.74105331064247e-02,3.32257887129882e-02,1.71100822503810e-02
2.44147137632347e-02,4.74105331064239e-02,6.76510245957439e-02,8.39598844370285e-02,9.53893009765955e-02,1.01275038069404e-01,1.01275038069404e-01,9.53893009765958e-02,8.39598844370290e-02,6.76510245957445e-02,4.74105331064244e-02,2.44147137632350e-02
3.03004508560433e-02,5.88399496459911e-02,8.39598844370287e-02,1.04200375926349e-01,1.18385120319785e-01,1.25689751832639e-01,1.25689751832639e-01,1.18385120319785e-01,1.04200375926349e-01,8.39598844370288e-02,5.88399496459912e-02,3.03004508560434e-02
3.44252358827563e-02,6.68498021866480e-02,9.53893009765959e-02,1.18385120319785e-01,1.34500826782392e-01,1.42799834083020e-01,1.42799834083020e-01,1.34500826782392e-01,1.18385120319785e-01,9.53893009765957e-02,6.68498021866479e-02,3.44252358827563e-02
3.65493513306045e-02,7.09745872133611e-02,1.01275038069405e-01,1.25689751832639e-01,1.42799834083021e-01,1.51610909032773e-01,1.51610909032773e-01,1.42799834083020e-01,1.25689751832639e-01,1.01275038069404e-01,7.09745872133609e-02,3.65493513306045e-02
3.65493513306045e-02,7.09745872133610e-02,1.01275038069405e-01,1.25689751832640e-01,1.42799834083020e-01,1.51610909032773e-01,1.51610909032773e-01,1.42799834083020e-01,1.25689751832639e-01,1.01275038069405e-01,7.09745872133610e-02,3.65493513306045e-02
3.44252358827564e-02,6.68498021866482e-02,9.53893009765961e-02,1.18385120319786e-01,1.34500826782393e-01,1.42799834083020e-01,1.42799834083020e-01,1.34500826782393e-01,1.18385120319785e-01,9.53893009765961e-02,6.68498021866481e-02,3.44252358827564e-02
3.03004508560435e-02,5.88399496459915e-02,8.39598844370292e-02,1.04200375926349e-01,1.18385120319785e-01,1.25689751832639e-01,1.25689751832640e-01,1.18385120319785e-01,1.04200375926349e-01,8.39598844370289e-02,5.88399496459912e-02,3.03004508560435e-02
2.44147137632349e-02,4.74105331064244e-02,6.76510245957444e-02,8.39598844370289e-02,9.53893009765957e-02,1.01275038069404e-01,1.01275038069404e-01,9.53893009765958e-02,8.39598844370288e-02,6.76510245957442e-02,4.74105331064242e-02,2.44147137632349e-02
1.71100822503808e-02,3.32257887129880e-02,4.74105331064244e-02,5.88399496459913e-02,6.68498021866480e-02,7.09745872133608e-02,7.09745872133608e-02,6.68498021866480e-02,5.88399496459912e-02,4.74105331064242e-02,3.32257887129878e-02,1.71100822503807e-02
8.81107494975303e-03,1.71100822503808e-02,2.44147137632349e-02,3.03004508560434e-02,3.44252358827563e-02,3.65493513306044e-02,3.65493513306045e-02,3.44252358827563e-02,3.03004508560434e-02,2.44147137632348e-02,1.71100822503808e-02,8.81107494975304e-03
